image,label
D:\dataset_chain\water\input0/train/7244.tif,D:\dataset_chain\water\input0/train_label/7244.tif
D:\dataset_chain\water\input0/train/7245.tif,D:\dataset_chain\water\input0/train_label/7245.tif
D:\dataset_chain\water\input0/train/7246.tif,D:\dataset_chain\water\input0/train_label/7246.tif
D:\dataset_chain\water\input0/train/7247.tif,D:\dataset_chain\water\input0/train_label/7247.tif
D:\dataset_chain\water\input0/train/7248.tif,D:\dataset_chain\water\input0/train_label/7248.tif
D:\dataset_chain\water\input0/train/7249.tif,D:\dataset_chain\water\input0/train_label/7249.tif
D:\dataset_chain\water\input0/train/7250.tif,D:\dataset_chain\water\input0/train_label/7250.tif
D:\dataset_chain\water\input0/train/7251.tif,D:\dataset_chain\water\input0/train_label/7251.tif
D:\dataset_chain\water\input0/train/7252.tif,D:\dataset_chain\water\input0/train_label/7252.tif
D:\dataset_chain\water\input0/train/7253.tif,D:\dataset_chain\water\input0/train_label/7253.tif
D:\dataset_chain\water\input0/train/7254.tif,D:\dataset_chain\water\input0/train_label/7254.tif
D:\dataset_chain\water\input0/train/7255.tif,D:\dataset_chain\water\input0/train_label/7255.tif
D:\dataset_chain\water\input0/train/7256.tif,D:\dataset_chain\water\input0/train_label/7256.tif
D:\dataset_chain\water\input0/train/7257.tif,D:\dataset_chain\water\input0/train_label/7257.tif
D:\dataset_chain\water\input0/train/7258.tif,D:\dataset_chain\water\input0/train_label/7258.tif
D:\dataset_chain\water\input0/train/7259.tif,D:\dataset_chain\water\input0/train_label/7259.tif
D:\dataset_chain\water\input0/train/7260.tif,D:\dataset_chain\water\input0/train_label/7260.tif
D:\dataset_chain\water\input0/train/7261.tif,D:\dataset_chain\water\input0/train_label/7261.tif
D:\dataset_chain\water\input0/train/7262.tif,D:\dataset_chain\water\input0/train_label/7262.tif
D:\dataset_chain\water\input0/train/7263.tif,D:\dataset_chain\water\input0/train_label/7263.tif
D:\dataset_chain\water\input0/train/7264.tif,D:\dataset_chain\water\input0/train_label/7264.tif
D:\dataset_chain\water\input0/train/7265.tif,D:\dataset_chain\water\input0/train_label/7265.tif
D:\dataset_chain\water\input0/train/7266.tif,D:\dataset_chain\water\input0/train_label/7266.tif
D:\dataset_chain\water\input0/train/7267.tif,D:\dataset_chain\water\input0/train_label/7267.tif
D:\dataset_chain\water\input0/train/7268.tif,D:\dataset_chain\water\input0/train_label/7268.tif
D:\dataset_chain\water\input0/train/7269.tif,D:\dataset_chain\water\input0/train_label/7269.tif
D:\dataset_chain\water\input0/train/7270.tif,D:\dataset_chain\water\input0/train_label/7270.tif
D:\dataset_chain\water\input0/train/7271.tif,D:\dataset_chain\water\input0/train_label/7271.tif
D:\dataset_chain\water\input0/train/7272.tif,D:\dataset_chain\water\input0/train_label/7272.tif
D:\dataset_chain\water\input0/train/7273.tif,D:\dataset_chain\water\input0/train_label/7273.tif
D:\dataset_chain\water\input0/train/7274.tif,D:\dataset_chain\water\input0/train_label/7274.tif
D:\dataset_chain\water\input0/train/7275.tif,D:\dataset_chain\water\input0/train_label/7275.tif
D:\dataset_chain\water\input0/train/7276.tif,D:\dataset_chain\water\input0/train_label/7276.tif
D:\dataset_chain\water\input0/train/7277.tif,D:\dataset_chain\water\input0/train_label/7277.tif
D:\dataset_chain\water\input0/train/7278.tif,D:\dataset_chain\water\input0/train_label/7278.tif
D:\dataset_chain\water\input0/train/7279.tif,D:\dataset_chain\water\input0/train_label/7279.tif
D:\dataset_chain\water\input0/train/7280.tif,D:\dataset_chain\water\input0/train_label/7280.tif
D:\dataset_chain\water\input0/train/7281.tif,D:\dataset_chain\water\input0/train_label/7281.tif
D:\dataset_chain\water\input0/train/7282.tif,D:\dataset_chain\water\input0/train_label/7282.tif
D:\dataset_chain\water\input0/train/7283.tif,D:\dataset_chain\water\input0/train_label/7283.tif
D:\dataset_chain\water\input0/train/7284.tif,D:\dataset_chain\water\input0/train_label/7284.tif
D:\dataset_chain\water\input0/train/7285.tif,D:\dataset_chain\water\input0/train_label/7285.tif
D:\dataset_chain\water\input0/train/7286.tif,D:\dataset_chain\water\input0/train_label/7286.tif
D:\dataset_chain\water\input0/train/7287.tif,D:\dataset_chain\water\input0/train_label/7287.tif
D:\dataset_chain\water\input0/train/7288.tif,D:\dataset_chain\water\input0/train_label/7288.tif
D:\dataset_chain\water\input0/train/7289.tif,D:\dataset_chain\water\input0/train_label/7289.tif
D:\dataset_chain\water\input0/train/7290.tif,D:\dataset_chain\water\input0/train_label/7290.tif
D:\dataset_chain\water\input0/train/7291.tif,D:\dataset_chain\water\input0/train_label/7291.tif
D:\dataset_chain\water\input0/train/7292.tif,D:\dataset_chain\water\input0/train_label/7292.tif
D:\dataset_chain\water\input0/train/7293.tif,D:\dataset_chain\water\input0/train_label/7293.tif
D:\dataset_chain\water\input0/train/7294.tif,D:\dataset_chain\water\input0/train_label/7294.tif
D:\dataset_chain\water\input0/train/7295.tif,D:\dataset_chain\water\input0/train_label/7295.tif
D:\dataset_chain\water\input0/train/7296.tif,D:\dataset_chain\water\input0/train_label/7296.tif
D:\dataset_chain\water\input0/train/7297.tif,D:\dataset_chain\water\input0/train_label/7297.tif
D:\dataset_chain\water\input0/train/7298.tif,D:\dataset_chain\water\input0/train_label/7298.tif
D:\dataset_chain\water\input0/train/7299.tif,D:\dataset_chain\water\input0/train_label/7299.tif
D:\dataset_chain\water\input0/train/7300.tif,D:\dataset_chain\water\input0/train_label/7300.tif
D:\dataset_chain\water\input0/train/7301.tif,D:\dataset_chain\water\input0/train_label/7301.tif
D:\dataset_chain\water\input0/train/7302.tif,D:\dataset_chain\water\input0/train_label/7302.tif
D:\dataset_chain\water\input0/train/7303.tif,D:\dataset_chain\water\input0/train_label/7303.tif
D:\dataset_chain\water\input0/train/7304.tif,D:\dataset_chain\water\input0/train_label/7304.tif
D:\dataset_chain\water\input0/train/7305.tif,D:\dataset_chain\water\input0/train_label/7305.tif
D:\dataset_chain\water\input0/train/7306.tif,D:\dataset_chain\water\input0/train_label/7306.tif
D:\dataset_chain\water\input0/train/7307.tif,D:\dataset_chain\water\input0/train_label/7307.tif
D:\dataset_chain\water\input0/train/7308.tif,D:\dataset_chain\water\input0/train_label/7308.tif
D:\dataset_chain\water\input0/train/7309.tif,D:\dataset_chain\water\input0/train_label/7309.tif
D:\dataset_chain\water\input0/train/7310.tif,D:\dataset_chain\water\input0/train_label/7310.tif
D:\dataset_chain\water\input0/train/7311.tif,D:\dataset_chain\water\input0/train_label/7311.tif
D:\dataset_chain\water\input0/train/7312.tif,D:\dataset_chain\water\input0/train_label/7312.tif
D:\dataset_chain\water\input0/train/7313.tif,D:\dataset_chain\water\input0/train_label/7313.tif
D:\dataset_chain\water\input0/train/7314.tif,D:\dataset_chain\water\input0/train_label/7314.tif
D:\dataset_chain\water\input0/train/7315.tif,D:\dataset_chain\water\input0/train_label/7315.tif
D:\dataset_chain\water\input0/train/7316.tif,D:\dataset_chain\water\input0/train_label/7316.tif
D:\dataset_chain\water\input0/train/7317.tif,D:\dataset_chain\water\input0/train_label/7317.tif
D:\dataset_chain\water\input0/train/7318.tif,D:\dataset_chain\water\input0/train_label/7318.tif
D:\dataset_chain\water\input0/train/7319.tif,D:\dataset_chain\water\input0/train_label/7319.tif
D:\dataset_chain\water\input0/train/7320.tif,D:\dataset_chain\water\input0/train_label/7320.tif
D:\dataset_chain\water\input0/train/7321.tif,D:\dataset_chain\water\input0/train_label/7321.tif
D:\dataset_chain\water\input0/train/7322.tif,D:\dataset_chain\water\input0/train_label/7322.tif
D:\dataset_chain\water\input0/train/7323.tif,D:\dataset_chain\water\input0/train_label/7323.tif
D:\dataset_chain\water\input0/train/7324.tif,D:\dataset_chain\water\input0/train_label/7324.tif
D:\dataset_chain\water\input0/train/7325.tif,D:\dataset_chain\water\input0/train_label/7325.tif
D:\dataset_chain\water\input0/train/7326.tif,D:\dataset_chain\water\input0/train_label/7326.tif
D:\dataset_chain\water\input0/train/7327.tif,D:\dataset_chain\water\input0/train_label/7327.tif
D:\dataset_chain\water\input0/train/7328.tif,D:\dataset_chain\water\input0/train_label/7328.tif
D:\dataset_chain\water\input0/train/7329.tif,D:\dataset_chain\water\input0/train_label/7329.tif
D:\dataset_chain\water\input0/train/7330.tif,D:\dataset_chain\water\input0/train_label/7330.tif
D:\dataset_chain\water\input0/train/7331.tif,D:\dataset_chain\water\input0/train_label/7331.tif
D:\dataset_chain\water\input0/train/7332.tif,D:\dataset_chain\water\input0/train_label/7332.tif
D:\dataset_chain\water\input0/train/7333.tif,D:\dataset_chain\water\input0/train_label/7333.tif
D:\dataset_chain\water\input0/train/7334.tif,D:\dataset_chain\water\input0/train_label/7334.tif
D:\dataset_chain\water\input0/train/7335.tif,D:\dataset_chain\water\input0/train_label/7335.tif
D:\dataset_chain\water\input0/train/7336.tif,D:\dataset_chain\water\input0/train_label/7336.tif
D:\dataset_chain\water\input0/train/7337.tif,D:\dataset_chain\water\input0/train_label/7337.tif
D:\dataset_chain\water\input0/train/7338.tif,D:\dataset_chain\water\input0/train_label/7338.tif
D:\dataset_chain\water\input0/train/7339.tif,D:\dataset_chain\water\input0/train_label/7339.tif
D:\dataset_chain\water\input0/train/7340.tif,D:\dataset_chain\water\input0/train_label/7340.tif
D:\dataset_chain\water\input0/train/7341.tif,D:\dataset_chain\water\input0/train_label/7341.tif
D:\dataset_chain\water\input0/train/7342.tif,D:\dataset_chain\water\input0/train_label/7342.tif
D:\dataset_chain\water\input0/train/7343.tif,D:\dataset_chain\water\input0/train_label/7343.tif
D:\dataset_chain\water\input0/train/7344.tif,D:\dataset_chain\water\input0/train_label/7344.tif
D:\dataset_chain\water\input0/train/7345.tif,D:\dataset_chain\water\input0/train_label/7345.tif
D:\dataset_chain\water\input0/train/7346.tif,D:\dataset_chain\water\input0/train_label/7346.tif
D:\dataset_chain\water\input0/train/7347.tif,D:\dataset_chain\water\input0/train_label/7347.tif
D:\dataset_chain\water\input0/train/7348.tif,D:\dataset_chain\water\input0/train_label/7348.tif
D:\dataset_chain\water\input0/train/7349.tif,D:\dataset_chain\water\input0/train_label/7349.tif
D:\dataset_chain\water\input0/train/7350.tif,D:\dataset_chain\water\input0/train_label/7350.tif
D:\dataset_chain\water\input0/train/7351.tif,D:\dataset_chain\water\input0/train_label/7351.tif
D:\dataset_chain\water\input0/train/7352.tif,D:\dataset_chain\water\input0/train_label/7352.tif
D:\dataset_chain\water\input0/train/7353.tif,D:\dataset_chain\water\input0/train_label/7353.tif
D:\dataset_chain\water\input0/train/7354.tif,D:\dataset_chain\water\input0/train_label/7354.tif
D:\dataset_chain\water\input0/train/7355.tif,D:\dataset_chain\water\input0/train_label/7355.tif
D:\dataset_chain\water\input0/train/7356.tif,D:\dataset_chain\water\input0/train_label/7356.tif
D:\dataset_chain\water\input0/train/7357.tif,D:\dataset_chain\water\input0/train_label/7357.tif
D:\dataset_chain\water\input0/train/7358.tif,D:\dataset_chain\water\input0/train_label/7358.tif
D:\dataset_chain\water\input0/train/7359.tif,D:\dataset_chain\water\input0/train_label/7359.tif
D:\dataset_chain\water\input0/train/7360.tif,D:\dataset_chain\water\input0/train_label/7360.tif
D:\dataset_chain\water\input0/train/7361.tif,D:\dataset_chain\water\input0/train_label/7361.tif
D:\dataset_chain\water\input0/train/7362.tif,D:\dataset_chain\water\input0/train_label/7362.tif
D:\dataset_chain\water\input0/train/7363.tif,D:\dataset_chain\water\input0/train_label/7363.tif
D:\dataset_chain\water\input0/train/7364.tif,D:\dataset_chain\water\input0/train_label/7364.tif
D:\dataset_chain\water\input0/train/7365.tif,D:\dataset_chain\water\input0/train_label/7365.tif
D:\dataset_chain\water\input0/train/7366.tif,D:\dataset_chain\water\input0/train_label/7366.tif
D:\dataset_chain\water\input0/train/7367.tif,D:\dataset_chain\water\input0/train_label/7367.tif
D:\dataset_chain\water\input0/train/7368.tif,D:\dataset_chain\water\input0/train_label/7368.tif
D:\dataset_chain\water\input0/train/7369.tif,D:\dataset_chain\water\input0/train_label/7369.tif
D:\dataset_chain\water\input0/train/7370.tif,D:\dataset_chain\water\input0/train_label/7370.tif
D:\dataset_chain\water\input0/train/7371.tif,D:\dataset_chain\water\input0/train_label/7371.tif
D:\dataset_chain\water\input0/train/7372.tif,D:\dataset_chain\water\input0/train_label/7372.tif
D:\dataset_chain\water\input0/train/7373.tif,D:\dataset_chain\water\input0/train_label/7373.tif
D:\dataset_chain\water\input0/train/7374.tif,D:\dataset_chain\water\input0/train_label/7374.tif
D:\dataset_chain\water\input0/train/7375.tif,D:\dataset_chain\water\input0/train_label/7375.tif
D:\dataset_chain\water\input0/train/7376.tif,D:\dataset_chain\water\input0/train_label/7376.tif
D:\dataset_chain\water\input0/train/7377.tif,D:\dataset_chain\water\input0/train_label/7377.tif
D:\dataset_chain\water\input0/train/7378.tif,D:\dataset_chain\water\input0/train_label/7378.tif
D:\dataset_chain\water\input0/train/7379.tif,D:\dataset_chain\water\input0/train_label/7379.tif
D:\dataset_chain\water\input0/train/7380.tif,D:\dataset_chain\water\input0/train_label/7380.tif
D:\dataset_chain\water\input0/train/7381.tif,D:\dataset_chain\water\input0/train_label/7381.tif
D:\dataset_chain\water\input0/train/7382.tif,D:\dataset_chain\water\input0/train_label/7382.tif
D:\dataset_chain\water\input0/train/7383.tif,D:\dataset_chain\water\input0/train_label/7383.tif
D:\dataset_chain\water\input0/train/7384.tif,D:\dataset_chain\water\input0/train_label/7384.tif
D:\dataset_chain\water\input0/train/7385.tif,D:\dataset_chain\water\input0/train_label/7385.tif
D:\dataset_chain\water\input0/train/7386.tif,D:\dataset_chain\water\input0/train_label/7386.tif
D:\dataset_chain\water\input0/train/7387.tif,D:\dataset_chain\water\input0/train_label/7387.tif
D:\dataset_chain\water\input0/train/7388.tif,D:\dataset_chain\water\input0/train_label/7388.tif
D:\dataset_chain\water\input0/train/7389.tif,D:\dataset_chain\water\input0/train_label/7389.tif
D:\dataset_chain\water\input0/train/7390.tif,D:\dataset_chain\water\input0/train_label/7390.tif
D:\dataset_chain\water\input0/train/7391.tif,D:\dataset_chain\water\input0/train_label/7391.tif
D:\dataset_chain\water\input0/train/7392.tif,D:\dataset_chain\water\input0/train_label/7392.tif
D:\dataset_chain\water\input0/train/7393.tif,D:\dataset_chain\water\input0/train_label/7393.tif
D:\dataset_chain\water\input0/train/7394.tif,D:\dataset_chain\water\input0/train_label/7394.tif
D:\dataset_chain\water\input0/train/7395.tif,D:\dataset_chain\water\input0/train_label/7395.tif
D:\dataset_chain\water\input0/train/7396.tif,D:\dataset_chain\water\input0/train_label/7396.tif
D:\dataset_chain\water\input0/train/7397.tif,D:\dataset_chain\water\input0/train_label/7397.tif
D:\dataset_chain\water\input0/train/7398.tif,D:\dataset_chain\water\input0/train_label/7398.tif
D:\dataset_chain\water\input0/train/7399.tif,D:\dataset_chain\water\input0/train_label/7399.tif
D:\dataset_chain\water\input0/train/7400.tif,D:\dataset_chain\water\input0/train_label/7400.tif
D:\dataset_chain\water\input0/train/7401.tif,D:\dataset_chain\water\input0/train_label/7401.tif
D:\dataset_chain\water\input0/train/7402.tif,D:\dataset_chain\water\input0/train_label/7402.tif
D:\dataset_chain\water\input0/train/7403.tif,D:\dataset_chain\water\input0/train_label/7403.tif
D:\dataset_chain\water\input0/train/7404.tif,D:\dataset_chain\water\input0/train_label/7404.tif
D:\dataset_chain\water\input0/train/7405.tif,D:\dataset_chain\water\input0/train_label/7405.tif
D:\dataset_chain\water\input0/train/7406.tif,D:\dataset_chain\water\input0/train_label/7406.tif
D:\dataset_chain\water\input0/train/7407.tif,D:\dataset_chain\water\input0/train_label/7407.tif
D:\dataset_chain\water\input0/train/7408.tif,D:\dataset_chain\water\input0/train_label/7408.tif
D:\dataset_chain\water\input0/train/7409.tif,D:\dataset_chain\water\input0/train_label/7409.tif
D:\dataset_chain\water\input0/train/7410.tif,D:\dataset_chain\water\input0/train_label/7410.tif
D:\dataset_chain\water\input0/train/7411.tif,D:\dataset_chain\water\input0/train_label/7411.tif
D:\dataset_chain\water\input0/train/7412.tif,D:\dataset_chain\water\input0/train_label/7412.tif
D:\dataset_chain\water\input0/train/7413.tif,D:\dataset_chain\water\input0/train_label/7413.tif
D:\dataset_chain\water\input0/train/7414.tif,D:\dataset_chain\water\input0/train_label/7414.tif
D:\dataset_chain\water\input0/train/7415.tif,D:\dataset_chain\water\input0/train_label/7415.tif
D:\dataset_chain\water\input0/train/7416.tif,D:\dataset_chain\water\input0/train_label/7416.tif
D:\dataset_chain\water\input0/train/7417.tif,D:\dataset_chain\water\input0/train_label/7417.tif
D:\dataset_chain\water\input0/train/7418.tif,D:\dataset_chain\water\input0/train_label/7418.tif
D:\dataset_chain\water\input0/train/7419.tif,D:\dataset_chain\water\input0/train_label/7419.tif
D:\dataset_chain\water\input0/train/7420.tif,D:\dataset_chain\water\input0/train_label/7420.tif
D:\dataset_chain\water\input0/train/7421.tif,D:\dataset_chain\water\input0/train_label/7421.tif
D:\dataset_chain\water\input0/train/7422.tif,D:\dataset_chain\water\input0/train_label/7422.tif
D:\dataset_chain\water\input0/train/7423.tif,D:\dataset_chain\water\input0/train_label/7423.tif
D:\dataset_chain\water\input0/train/7424.tif,D:\dataset_chain\water\input0/train_label/7424.tif
D:\dataset_chain\water\input0/train/7425.tif,D:\dataset_chain\water\input0/train_label/7425.tif
D:\dataset_chain\water\input0/train/7426.tif,D:\dataset_chain\water\input0/train_label/7426.tif
D:\dataset_chain\water\input0/train/7427.tif,D:\dataset_chain\water\input0/train_label/7427.tif
D:\dataset_chain\water\input0/train/7428.tif,D:\dataset_chain\water\input0/train_label/7428.tif
D:\dataset_chain\water\input0/train/7429.tif,D:\dataset_chain\water\input0/train_label/7429.tif
D:\dataset_chain\water\input0/train/7430.tif,D:\dataset_chain\water\input0/train_label/7430.tif
D:\dataset_chain\water\input0/train/7431.tif,D:\dataset_chain\water\input0/train_label/7431.tif
D:\dataset_chain\water\input0/train/7432.tif,D:\dataset_chain\water\input0/train_label/7432.tif
D:\dataset_chain\water\input0/train/7433.tif,D:\dataset_chain\water\input0/train_label/7433.tif
D:\dataset_chain\water\input0/train/7434.tif,D:\dataset_chain\water\input0/train_label/7434.tif
D:\dataset_chain\water\input0/train/7435.tif,D:\dataset_chain\water\input0/train_label/7435.tif
D:\dataset_chain\water\input0/train/7436.tif,D:\dataset_chain\water\input0/train_label/7436.tif
D:\dataset_chain\water\input0/train/7437.tif,D:\dataset_chain\water\input0/train_label/7437.tif
D:\dataset_chain\water\input0/train/7438.tif,D:\dataset_chain\water\input0/train_label/7438.tif
D:\dataset_chain\water\input0/train/7439.tif,D:\dataset_chain\water\input0/train_label/7439.tif
D:\dataset_chain\water\input0/train/7440.tif,D:\dataset_chain\water\input0/train_label/7440.tif
D:\dataset_chain\water\input0/train/7441.tif,D:\dataset_chain\water\input0/train_label/7441.tif
D:\dataset_chain\water\input0/train/7442.tif,D:\dataset_chain\water\input0/train_label/7442.tif
D:\dataset_chain\water\input0/train/7443.tif,D:\dataset_chain\water\input0/train_label/7443.tif
D:\dataset_chain\water\input0/train/7444.tif,D:\dataset_chain\water\input0/train_label/7444.tif
D:\dataset_chain\water\input0/train/7445.tif,D:\dataset_chain\water\input0/train_label/7445.tif
D:\dataset_chain\water\input0/train/7446.tif,D:\dataset_chain\water\input0/train_label/7446.tif
D:\dataset_chain\water\input0/train/7447.tif,D:\dataset_chain\water\input0/train_label/7447.tif
D:\dataset_chain\water\input0/train/7448.tif,D:\dataset_chain\water\input0/train_label/7448.tif
D:\dataset_chain\water\input0/train/7449.tif,D:\dataset_chain\water\input0/train_label/7449.tif
D:\dataset_chain\water\input0/train/7450.tif,D:\dataset_chain\water\input0/train_label/7450.tif
D:\dataset_chain\water\input0/train/7451.tif,D:\dataset_chain\water\input0/train_label/7451.tif
D:\dataset_chain\water\input0/train/7452.tif,D:\dataset_chain\water\input0/train_label/7452.tif
D:\dataset_chain\water\input0/train/7453.tif,D:\dataset_chain\water\input0/train_label/7453.tif
D:\dataset_chain\water\input0/train/7454.tif,D:\dataset_chain\water\input0/train_label/7454.tif
D:\dataset_chain\water\input0/train/7455.tif,D:\dataset_chain\water\input0/train_label/7455.tif
D:\dataset_chain\water\input0/train/7456.tif,D:\dataset_chain\water\input0/train_label/7456.tif
D:\dataset_chain\water\input0/train/7457.tif,D:\dataset_chain\water\input0/train_label/7457.tif
D:\dataset_chain\water\input0/train/7458.tif,D:\dataset_chain\water\input0/train_label/7458.tif
D:\dataset_chain\water\input0/train/7459.tif,D:\dataset_chain\water\input0/train_label/7459.tif
D:\dataset_chain\water\input0/train/7460.tif,D:\dataset_chain\water\input0/train_label/7460.tif
D:\dataset_chain\water\input0/train/7461.tif,D:\dataset_chain\water\input0/train_label/7461.tif
D:\dataset_chain\water\input0/train/7462.tif,D:\dataset_chain\water\input0/train_label/7462.tif
D:\dataset_chain\water\input0/train/7463.tif,D:\dataset_chain\water\input0/train_label/7463.tif
D:\dataset_chain\water\input0/train/7464.tif,D:\dataset_chain\water\input0/train_label/7464.tif
D:\dataset_chain\water\input0/train/7465.tif,D:\dataset_chain\water\input0/train_label/7465.tif
D:\dataset_chain\water\input0/train/7466.tif,D:\dataset_chain\water\input0/train_label/7466.tif
D:\dataset_chain\water\input0/train/7467.tif,D:\dataset_chain\water\input0/train_label/7467.tif
D:\dataset_chain\water\input0/train/7468.tif,D:\dataset_chain\water\input0/train_label/7468.tif
D:\dataset_chain\water\input0/train/7469.tif,D:\dataset_chain\water\input0/train_label/7469.tif
D:\dataset_chain\water\input0/train/7470.tif,D:\dataset_chain\water\input0/train_label/7470.tif
D:\dataset_chain\water\input0/train/7471.tif,D:\dataset_chain\water\input0/train_label/7471.tif
D:\dataset_chain\water\input0/train/7472.tif,D:\dataset_chain\water\input0/train_label/7472.tif
D:\dataset_chain\water\input0/train/7473.tif,D:\dataset_chain\water\input0/train_label/7473.tif
D:\dataset_chain\water\input0/train/7474.tif,D:\dataset_chain\water\input0/train_label/7474.tif
D:\dataset_chain\water\input0/train/7475.tif,D:\dataset_chain\water\input0/train_label/7475.tif
D:\dataset_chain\water\input0/train/7476.tif,D:\dataset_chain\water\input0/train_label/7476.tif
D:\dataset_chain\water\input0/train/7477.tif,D:\dataset_chain\water\input0/train_label/7477.tif
D:\dataset_chain\water\input0/train/7478.tif,D:\dataset_chain\water\input0/train_label/7478.tif
D:\dataset_chain\water\input0/train/7479.tif,D:\dataset_chain\water\input0/train_label/7479.tif
D:\dataset_chain\water\input0/train/7480.tif,D:\dataset_chain\water\input0/train_label/7480.tif
D:\dataset_chain\water\input0/train/7481.tif,D:\dataset_chain\water\input0/train_label/7481.tif
D:\dataset_chain\water\input0/train/7482.tif,D:\dataset_chain\water\input0/train_label/7482.tif
D:\dataset_chain\water\input0/train/7483.tif,D:\dataset_chain\water\input0/train_label/7483.tif
D:\dataset_chain\water\input0/train/7484.tif,D:\dataset_chain\water\input0/train_label/7484.tif
D:\dataset_chain\water\input0/train/7485.tif,D:\dataset_chain\water\input0/train_label/7485.tif
D:\dataset_chain\water\input0/train/7486.tif,D:\dataset_chain\water\input0/train_label/7486.tif
D:\dataset_chain\water\input0/train/7487.tif,D:\dataset_chain\water\input0/train_label/7487.tif
D:\dataset_chain\water\input0/train/7488.tif,D:\dataset_chain\water\input0/train_label/7488.tif
D:\dataset_chain\water\input0/train/7489.tif,D:\dataset_chain\water\input0/train_label/7489.tif
D:\dataset_chain\water\input0/train/7490.tif,D:\dataset_chain\water\input0/train_label/7490.tif
D:\dataset_chain\water\input0/train/7491.tif,D:\dataset_chain\water\input0/train_label/7491.tif
D:\dataset_chain\water\input0/train/7492.tif,D:\dataset_chain\water\input0/train_label/7492.tif
D:\dataset_chain\water\input0/train/7493.tif,D:\dataset_chain\water\input0/train_label/7493.tif
D:\dataset_chain\water\input0/train/7494.tif,D:\dataset_chain\water\input0/train_label/7494.tif
D:\dataset_chain\water\input0/train/7495.tif,D:\dataset_chain\water\input0/train_label/7495.tif
D:\dataset_chain\water\input0/train/7496.tif,D:\dataset_chain\water\input0/train_label/7496.tif
D:\dataset_chain\water\input0/train/7497.tif,D:\dataset_chain\water\input0/train_label/7497.tif
D:\dataset_chain\water\input0/train/7498.tif,D:\dataset_chain\water\input0/train_label/7498.tif
D:\dataset_chain\water\input0/train/7499.tif,D:\dataset_chain\water\input0/train_label/7499.tif
D:\dataset_chain\water\input0/train/7500.tif,D:\dataset_chain\water\input0/train_label/7500.tif
D:\dataset_chain\water\input0/train/7501.tif,D:\dataset_chain\water\input0/train_label/7501.tif
D:\dataset_chain\water\input0/train/7502.tif,D:\dataset_chain\water\input0/train_label/7502.tif
D:\dataset_chain\water\input0/train/7503.tif,D:\dataset_chain\water\input0/train_label/7503.tif
D:\dataset_chain\water\input0/train/7504.tif,D:\dataset_chain\water\input0/train_label/7504.tif
D:\dataset_chain\water\input0/train/7505.tif,D:\dataset_chain\water\input0/train_label/7505.tif
D:\dataset_chain\water\input0/train/7506.tif,D:\dataset_chain\water\input0/train_label/7506.tif
D:\dataset_chain\water\input0/train/7507.tif,D:\dataset_chain\water\input0/train_label/7507.tif
D:\dataset_chain\water\input0/train/7508.tif,D:\dataset_chain\water\input0/train_label/7508.tif
D:\dataset_chain\water\input0/train/7509.tif,D:\dataset_chain\water\input0/train_label/7509.tif
D:\dataset_chain\water\input0/train/7510.tif,D:\dataset_chain\water\input0/train_label/7510.tif
D:\dataset_chain\water\input0/train/7511.tif,D:\dataset_chain\water\input0/train_label/7511.tif
D:\dataset_chain\water\input0/train/7512.tif,D:\dataset_chain\water\input0/train_label/7512.tif
D:\dataset_chain\water\input0/train/7513.tif,D:\dataset_chain\water\input0/train_label/7513.tif
D:\dataset_chain\water\input0/train/7514.tif,D:\dataset_chain\water\input0/train_label/7514.tif
D:\dataset_chain\water\input0/train/7515.tif,D:\dataset_chain\water\input0/train_label/7515.tif
D:\dataset_chain\water\input0/train/7516.tif,D:\dataset_chain\water\input0/train_label/7516.tif
D:\dataset_chain\water\input0/train/7517.tif,D:\dataset_chain\water\input0/train_label/7517.tif
D:\dataset_chain\water\input0/train/7518.tif,D:\dataset_chain\water\input0/train_label/7518.tif
D:\dataset_chain\water\input0/train/7519.tif,D:\dataset_chain\water\input0/train_label/7519.tif
D:\dataset_chain\water\input0/train/7520.tif,D:\dataset_chain\water\input0/train_label/7520.tif
D:\dataset_chain\water\input0/train/7521.tif,D:\dataset_chain\water\input0/train_label/7521.tif
D:\dataset_chain\water\input0/train/7522.tif,D:\dataset_chain\water\input0/train_label/7522.tif
D:\dataset_chain\water\input0/train/7523.tif,D:\dataset_chain\water\input0/train_label/7523.tif
D:\dataset_chain\water\input0/train/7524.tif,D:\dataset_chain\water\input0/train_label/7524.tif
D:\dataset_chain\water\input0/train/7525.tif,D:\dataset_chain\water\input0/train_label/7525.tif
D:\dataset_chain\water\input0/train/7526.tif,D:\dataset_chain\water\input0/train_label/7526.tif
D:\dataset_chain\water\input0/train/7527.tif,D:\dataset_chain\water\input0/train_label/7527.tif
D:\dataset_chain\water\input0/train/7528.tif,D:\dataset_chain\water\input0/train_label/7528.tif
D:\dataset_chain\water\input0/train/7529.tif,D:\dataset_chain\water\input0/train_label/7529.tif
D:\dataset_chain\water\input0/train/7530.tif,D:\dataset_chain\water\input0/train_label/7530.tif
D:\dataset_chain\water\input0/train/7531.tif,D:\dataset_chain\water\input0/train_label/7531.tif
D:\dataset_chain\water\input0/train/7532.tif,D:\dataset_chain\water\input0/train_label/7532.tif
D:\dataset_chain\water\input0/train/7533.tif,D:\dataset_chain\water\input0/train_label/7533.tif
D:\dataset_chain\water\input0/train/7534.tif,D:\dataset_chain\water\input0/train_label/7534.tif
